24-05-11 18:01:37.312 [main] INFO  c.j.n.NewmongoprojectApplication - Starting NewmongoprojectApplication using Java 17.0.10 with PID 28244 (C:\Users\hassa\OneDrive\Desktop\SpringBoot\newmongoproject\target\classes started by hassa in C:\Users\hassa\OneDrive\Desktop\SpringBoot\newmongoproject) 
24-05-11 18:01:37.334 [main] INFO  c.j.n.NewmongoprojectApplication - The following 1 profile is active: "dev" 
24-05-11 18:01:37.892 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
24-05-11 18:01:37.941 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 41 ms. Found 2 MongoDB repository interfaces. 
24-05-11 18:01:38.305 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8090 (http) 
24-05-11 18:01:38.312 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"] 
24-05-11 18:01:38.315 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
24-05-11 18:01:38.315 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20] 
24-05-11 18:01:38.359 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext 
24-05-11 18:01:38.360 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 968 ms 
24-05-11 18:01:38.549 [cluster-ClusterId{value='663f25e28684c720e08d9403', description='Cluster0'}-srv-cluster0.exzefa4.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017 to client view of cluster 
24-05-11 18:01:38.552 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.2"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.10+11-LTS-240"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='lama', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@42ea7565, com.mongodb.Jep395RecordCodecProvider@7b5cc918, com.mongodb.KotlinCodecProvider@62b3a2f6]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.exzefa4.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-3cfruc-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null} 
24-05-11 18:01:38.574 [cluster-ClusterId{value='663f25e28684c720e08d9403', description='Cluster0'}-srv-cluster0.exzefa4.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-6s7spt9-shard-00-01.exzefa4.mongodb.net:27017 to client view of cluster 
24-05-11 18:01:38.576 [cluster-ClusterId{value='663f25e28684c720e08d9403', description='Cluster0'}-srv-cluster0.exzefa4.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-6s7spt9-shard-00-00.exzefa4.mongodb.net:27017 to client view of cluster 
