24-05-11 15:48:26.143 [main] INFO  c.j.n.NewmongoprojectApplication - Starting NewmongoprojectApplication using Java 17.0.10 with PID 8304 (C:\Users\hassa\OneDrive\Desktop\SpringBoot\newmongoproject\target\classes started by hassa in C:\Users\hassa\OneDrive\Desktop\SpringBoot\newmongoproject) 
24-05-11 15:48:26.148 [main] INFO  c.j.n.NewmongoprojectApplication - The following 1 profile is active: "dev" 
24-05-11 15:48:26.654 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
24-05-11 15:48:26.698 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 39 ms. Found 2 MongoDB repository interfaces. 
24-05-11 15:48:27.068 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8090 (http) 
24-05-11 15:48:27.073 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"] 
24-05-11 15:48:27.074 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
24-05-11 15:48:27.075 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20] 
24-05-11 15:48:27.119 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext 
24-05-11 15:48:27.119 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 931 ms 
24-05-11 15:48:27.283 [cluster-ClusterId{value='663f06ab6dc85e2db1b0ea94', description='Cluster0'}-srv-cluster0.exzefa4.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017 to client view of cluster 
24-05-11 15:48:27.284 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.2"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.10+11-LTS-240"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='lama', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@7f0b93b4, com.mongodb.Jep395RecordCodecProvider@1376883, com.mongodb.KotlinCodecProvider@1f736d00]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.exzefa4.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-3cfruc-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null} 
24-05-11 15:48:27.306 [cluster-ClusterId{value='663f06ab6dc85e2db1b0ea94', description='Cluster0'}-srv-cluster0.exzefa4.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-6s7spt9-shard-00-01.exzefa4.mongodb.net:27017 to client view of cluster 
24-05-11 15:48:27.309 [cluster-ClusterId{value='663f06ab6dc85e2db1b0ea94', description='Cluster0'}-srv-cluster0.exzefa4.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-6s7spt9-shard-00-00.exzefa4.mongodb.net:27017 to client view of cluster 
24-05-11 15:48:27.488 [main] INFO  org.mongodb.driver.cluster - No server chosen by WritableServerSelector from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-6s7spt9-shard-00-00.exzefa4.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-6s7spt9-shard-00-01.exzefa4.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
24-05-11 15:48:28.144 [cluster-ClusterId{value='663f06ab6dc85e2db1b0ea94', description='Cluster0'}-ac-6s7spt9-shard-00-00.exzefa4.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-6s7spt9-shard-00-00.exzefa4.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=516731400, setName='atlas-3cfruc-shard-0', canonicalAddress=ac-6s7spt9-shard-00-00.exzefa4.mongodb.net:27017, hosts=[ac-6s7spt9-shard-00-01.exzefa4.mongodb.net:27017, ac-6s7spt9-shard-00-00.exzefa4.mongodb.net:27017, ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017], passives=[], arbiters=[], primary='ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='mes1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='ME_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=4, topologyVersion=TopologyVersion{processId=663e61fc84cf786b6b31d653, counter=4}, lastWriteDate=Sat May 11 15:48:28 AEST 2024, lastUpdateTimeNanos=328308867058800} 
24-05-11 15:48:28.144 [cluster-ClusterId{value='663f06ab6dc85e2db1b0ea94', description='Cluster0'}-ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=513512400, setName='atlas-3cfruc-shard-0', canonicalAddress=ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017, hosts=[ac-6s7spt9-shard-00-01.exzefa4.mongodb.net:27017, ac-6s7spt9-shard-00-00.exzefa4.mongodb.net:27017, ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017], passives=[], arbiters=[], primary='ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='mes1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='ME_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000053, setVersion=4, topologyVersion=TopologyVersion{processId=663e64461ed6a620fcc6ae41, counter=6}, lastWriteDate=Sat May 11 15:48:28 AEST 2024, lastUpdateTimeNanos=328308867058800} 
